Name,Branch,Place,Exams Accepted,Fees
Indian Institute of Technology Bombay,B.Tech Electrical Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 845,600"
"College of Engineering, Pune",B.Tech Electrical Engineering,"Pune, Maharashtra",MAHA,"Fees:  ₹ 346,400"
"Lovely Professional University, Phagwara",B.Tech Electrical Engineering,"Phagwara, Punjab",JEE,"Fees:  ₹ 740,000"
"Maharaja Sayajirao University of Baroda, Vadodara",BE Electrical Engineering,"Vadodara, Gujarat",GUJCET,"Fees:  ₹ 35,500"
"Delhi Technological University, Delhi",B.Tech Electrical Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 780,800"
Indian Institute of Technology Madras,B.Tech Electrical Engineering,"Chennai, Tamil Nadu",JEE,"Fees:  ₹ 813,550"
Indian Institute of Engineering Science and Technology Shibpur,B.Tech Electrical Engineering,"Howrah, West Bengal",JEE,"Fees:  ₹ 510,500"
"Jadavpur University, Kolkata",BE Electrical Engineering,"Kolkata, West Bengal",WBJEE,"Fees:  ₹ 9,600"
Indian Institute of Technology Delhi,B.Tech Electrical Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 839,800"
"Jamia Millia Islamia, New Delhi",B.Tech Electrical Engineering,"New Delhi, Delhi",JEE,"Fees:  ₹ 64,600"
"LD College of Engineering, Ahmedabad",BE Electrical Engineering,"Ahmedabad, Gujarat",GUJCET,"Fees:  ₹ 10,100"
"School of Engineering, University of Petroleum and Energy Studies, Dehradun",B.Tech Electrical Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 1,424,000"
"Bharati Vidyapeeth Deemed University College of Engineering, Pune",B.Tech Electrical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 480,000"
"Heritage Institute of Technology, Kolkata",B.Tech Electrical Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 393,400"
"Veermata Jijabai Technological Institute, Mumbai",B.Tech Electrical Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 308,746"
Sardar Vallabhbhai National Institute of Technology Surat,B.Tech Electrical Engineering,"Surat, Gujarat",JEE,"Fees:  ₹ 531,500"
"College of Engineering, Trivandrum",B.Tech Electrical Engineering Part Time,"Thiruvananthapuram, Kerala",NA,"Fees:  ₹ 115,000"
"Manipal University, Jaipur",B.Tech Electrical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 1,145,000"
"Punjab Engineering College, Chandigarh",BE Electrical Engineering,"Chandigarh, Chandigarh",NA,"Fees:  ₹ 536,000"
"Techno India University, Kolkata",B.Tech Electrical Engineering,"Kolkata, West Bengal",NA,"Exams:  JEE Main ,  WBJEE "
"Integral University, Lucknow",B.Tech Electrical Engineering,"Lucknow, Uttar Pradesh",JEE,"Fees:  ₹ 500,000"
"Nirma University, Ahmedabad",B.Tech Electrical Engineering,"Ahmedabad, Gujarat",JEE,"Fees:  ₹ 761,200"
Motilal Nehru National Institute of Technology Allahabad Prayagraj,B.Tech Electrical Engineering,"Allahabad, Uttar Pradesh",JEE,"Fees:  ₹ 544,000"
Indian Institute of Technology Kharagpur,B.Tech Electrical Engineering,"Kharagpur, West Bengal",JEE,"Fees:  ₹ 847,500"
